3784
Degree	Column	Row	StrRaw	line	Type	diam	c	r	EConv0	EConv1	EConv2	OConv0	OConv1
146	20.73	0.00	0.00	0	7	32	16	16	0.16	-4.31	0.93	2.57	4.21	0	
-59	0.00	0.00	0.00	0	5	32	16	40	6.50	6.91	4.29	-2.40	1.08	1	
-154	18.86	0.00	0.00	0	7	32	16	376	0.96	0.40	-3.75	-3.85	8.38	15	
151	15.88	0.00	0.00	1	7	32	26	28	1.08	6.76	1.03	0.90	3.48	20	
-46	21.22	0.00	0.00	1	7	32	26	52	-2.19	-4.22	0.19	-2.97	-2.86	21	
122	27.23	0.00	0.00	1	7	32	26	364	0.76	2.06	-2.27	7.16	4.09	34	
-83	0.00	0.00	0.00	1	5	32	26	388	-2.61	0.60	1.62	-3.98	-0.46	35	
132	34.19	0.00	0.00	2	7	32	36	16	1.75	5.36	-2.84	4.11	3.68	39	
-45	33.88	0.00	0.00	2	7	32	36	40	-1.73	-4.56	1.18	-5.07	-4.94	40	
128	32.75	0.00	0.00	2	7	32	36	352	3.37	2.28	3.26	6.05	5.29	53	
-52	35.31	0.00	0.00	2	7	32	36	376	-1.20	-1.76	-0.18	-7.70	-5.82	54	
-44	44.15	0.00	0.00	3	7	32	46	28	-1.37	-3.75	0.56	-5.52	-5.49	59	
-156	52.92	0.00	0.00	3	7	32	46	172	0.21	-1.13	-5.30	-2.20	5.23	65	
152	46.76	0.00	0.00	3	7	32	46	340	-0.25	0.26	-0.80	4.18	8.20	72	
-42	47.14	0.00	0.00	3	7	32	46	364	0.45	1.09	0.03	-6.62	-7.20	73	
-42	55.30	0.00	0.00	4	7	32	56	16	-0.30	-2.84	1.14	-6.13	-6.67	78	
120	54.90	0.00	0.00	4	7	32	56	160	0.23	-0.41	1.95	7.84	4.58	84	
-109	47.69	0.00	0.00	4	7	32	56	184	-2.54	2.20	-0.74	-4.06	1.58	85	
116	60.21	0.00	0.00	4	7	32	56	328	-2.05	-2.36	-1.54	8.31	3.99	91	
-46	58.54	0.00	0.00	4	7	32	56	352	1.10	3.41	-0.57	-6.41	-5.76	92	
141	64.94	0.00	0.00	5	7	32	66	148	2.07	-0.92	4.02	5.37	6.81	103	
-54	67.59	0.00	0.00	5	7	32	66	172	1.88	2.20	-0.08	-7.60	-5.58	104	
